stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
2471.0,5,7,10,6,8,4,12,36,32,40
2472.0,8,7,6,9,9,8,17,39,38,47
2474.0,6,5,9,8,9,2,11,37,30,39
2476.0,7,5,7,6,6,5,11,31,30,36
2477.0,0,2,3,3,0,7,7,8,15,15
2478.0,6,7,7,7,7,7,14,34,34,41
2480.0,7,9,9,9,7,6,13,41,40,47
2481.0,5,6,5,3,4,6,10,23,25,29
2482.0,9,0,0,8,10,6,16,27,23,33
2483.0,0,3,4,4,3,7,10,14,18,21
2484.0,7,5,6,5,8,5,13,31,28,36
2485.0,0,0,0,9,2,8,10,11,17,19
2486.0,2,0,0,3,2,5,7,7,10,12
2488.0,8,7,9,6,10,7,17,40,37,47
2489.0,0,0,0,8,0,10,10,8,18,18
2491.0,0,0,0,8,3,2,5,11,10,13
2492.0,3,7,7,4,4,6,10,25,27,31
2493.0,10,8,9,8,8,4,12,43,39,47
2495.0,8,2,5,9,7,3,10,31,27,34
2496.0,8,6,8,7,9,7,16,38,36,45
2497.0,4,0,0,3,5,6,11,12,13,18
2498.0,0,0,0,3,0,2,2,3,5,5
2499.0,2,0,0,2,1,1,2,5,5,6
2501.0,7,4,3,1,9,7,16,24,22,31
2504.0,9,4,5,4,10,6,16,32,28,38
2505.0,0,1,1,10,2,2,4,14,14,16
2506.0,7,0,0,6,0,4,4,13,17,17
2509.0,0,0,0,4,0,1,1,4,5,5
2511.0,4,3,3,2,6,6,12,18,18,24
2514.0,3,2,2,4,9,10,19,20,21,30
2515.0,3,2,2,3,4,8,12,14,18,22
2516.0,2,0,0,9,0,10,10,11,21,21
2520.0,9,7,4,5,10,8,18,35,33,43
2524.0,10,5,4,2,8,3,11,29,24,32
2527.0,8,4,4,5,8,4,12,29,25,33
2528.0,9,0,0,3,3,2,5,15,14,17
2530.0,0,0,0,6,2,1,3,8,7,9
2534.0,10,5,3,5,10,3,13,33,26,36
2535.0,5,7,5,3,10,9,19,30,29,39
2536.0,8,0,0,5,0,4,4,13,17,17
2537.0,5,0,0,4,0,2,2,9,11,11
2538.0,1,0,0,10,8,1,9,19,12,20
